2026-05-30 00:31:41.158 +05:45 [WRN] Entity 'ApplicationUser' has a global query filter defined and is the required end of a relationship with the entity 'RefreshToken'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-05-30 00:31:43.232 +05:45 [INF] Database migrated and seeded successfully
2026-05-30 00:31:43.238 +05:45 [INF] AI Solutions API starting on https://localhost:7178
2026-05-30 00:31:43.470 +05:45 [INF] Now listening on: https://localhost:7178
2026-05-30 00:31:43.472 +05:45 [INF] Now listening on: http://localhost:5214
2026-05-30 00:31:43.534 +05:45 [INF] Application started. Press Ctrl+C to shut down.
2026-05-30 00:31:43.536 +05:45 [INF] Hosting environment: Development
2026-05-30 00:31:43.538 +05:45 [INF] Content root path: D:\Final year assignment 2\AISolutions\backend\src\AI.Solutions.API
2026-05-30 00:31:44.907 +05:45 [INF] HTTP GET /swagger responded 301 in 5.7369 ms
2026-05-30 00:31:44.997 +05:45 [INF] HTTP GET /swagger/index.html responded 200 in 60.6086 ms
2026-05-30 00:31:45.037 +05:45 [INF] HTTP GET /swagger/index.js responded 200 in 1.1501 ms
2026-05-30 00:31:45.255 +05:45 [INF] HTTP GET /swagger/v1/swagger.json responded 200 in 18.2204 ms
2026-05-30 00:33:05.852 +05:45 [INF] HTTP GET /api/reviews/approved responded 200 in 2174.6232 ms
2026-05-30 00:35:06.032 +05:45 [INF] HTTP GET /api/blogs responded 200 in 170.0534 ms
2026-05-30 00:36:20.137 +05:45 [INF] HTTP OPTIONS /api/auth/login responded 204 in 1.3711 ms
2026-05-30 00:36:20.453 +05:45 [INF] HTTP POST /api/auth/login responded 200 in 308.9356 ms
2026-05-30 00:36:20.834 +05:45 [INF] HTTP OPTIONS /api/reviews responded 204 in 0.0609 ms
2026-05-30 00:36:20.834 +05:45 [INF] HTTP OPTIONS /api/users responded 204 in 0.2285 ms
2026-05-30 00:36:20.834 +05:45 [INF] HTTP OPTIONS /api/contact/messages responded 204 in 0.1317 ms
2026-05-30 00:36:20.834 +05:45 [INF] HTTP OPTIONS /api/dashboard/stats responded 204 in 0.0351 ms
2026-05-30 00:36:20.984 +05:45 [INF] HTTP GET /api/reviews responded 200 in 140.0373 ms
2026-05-30 00:36:20.992 +05:45 [INF] HTTP GET /api/dashboard/stats responded 200 in 140.8151 ms
2026-05-30 00:36:20.999 +05:45 [INF] HTTP GET /api/contact/messages responded 200 in 148.2383 ms
2026-05-30 00:36:21.002 +05:45 [INF] HTTP GET /api/users responded 200 in 154.9281 ms
2026-05-30 00:36:36.001 +05:45 [INF] HTTP OPTIONS /api/reviews responded 204 in 0.1169 ms
2026-05-30 00:36:36.016 +05:45 [INF] HTTP OPTIONS /api/contact/messages responded 204 in 0.0723 ms
2026-05-30 00:36:36.017 +05:45 [INF] HTTP OPTIONS /api/users responded 204 in 0.0652 ms
2026-05-30 00:36:36.022 +05:45 [INF] HTTP GET /api/reviews responded 200 in 2.8787 ms
2026-05-30 00:36:36.025 +05:45 [INF] HTTP GET /api/contact/messages responded 200 in 3.5160 ms
2026-05-30 00:36:36.028 +05:45 [INF] HTTP GET /api/users responded 200 in 5.6819 ms
2026-05-30 00:36:36.706 +05:45 [INF] HTTP OPTIONS /api/blogs responded 204 in 0.1640 ms
