2026-06-02 07:00:09.375 +05:45 [WRN] Entity 'ApplicationUser' has a global query filter defined and is the required end of a relationship with the entity 'RefreshToken'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-06-02 07:00:12.140 +05:45 [INF] Database migrated and seeded successfully
2026-06-02 07:00:12.146 +05:45 [INF] AI Solutions API starting on https://localhost:7178
2026-06-02 07:00:12.370 +05:45 [INF] Now listening on: https://localhost:7178
2026-06-02 07:00:12.371 +05:45 [INF] Now listening on: http://localhost:5214
2026-06-02 07:00:12.413 +05:45 [INF] Application started. Press Ctrl+C to shut down.
2026-06-02 07:00:12.414 +05:45 [INF] Hosting environment: Development
2026-06-02 07:00:12.415 +05:45 [INF] Content root path: D:\Final year assignment 2\AISolutions\backend\src\AI.Solutions.API
2026-06-02 07:00:14.578 +05:45 [INF] HTTP GET /swagger responded 301 in 15.9448 ms
2026-06-02 07:00:14.774 +05:45 [INF] HTTP GET /swagger/index.html responded 200 in 149.4739 ms
2026-06-02 07:00:14.812 +05:45 [INF] HTTP GET /swagger/index.js responded 200 in 2.3323 ms
2026-06-02 07:00:15.013 +05:45 [INF] HTTP GET /swagger/v1/swagger.json responded 200 in 37.7136 ms
2026-06-02 07:01:08.117 +05:45 [INF] HTTP GET /api/reviews/approved responded 200 in 5285.2772 ms
2026-06-02 07:01:08.189 +05:45 [INF] HTTP GET /api/reviews/approved responded 200 in 206.7094 ms
2026-06-02 07:01:08.464 +05:45 [INF] HTTP GET /api/reviews/approved responded 200 in 13.7428 ms
2026-06-02 08:10:39.102 +05:45 [WRN] Entity 'ApplicationUser' has a global query filter defined and is the required end of a relationship with the entity 'RefreshToken'. This may lead to unexpected results when the required entity is filtered out. Either configure the navigation as optional, or define matching query filters for both entities in the navigation. See https://go.microsoft.com/fwlink/?linkid=2131316 for more information.
2026-06-02 08:10:41.820 +05:45 [INF] Database migrated and seeded successfully
2026-06-02 08:10:41.825 +05:45 [INF] AI Solutions API starting on https://localhost:7178
2026-06-02 08:10:42.292 +05:45 [INF] Now listening on: https://localhost:7178
2026-06-02 08:10:42.293 +05:45 [INF] Now listening on: http://localhost:5214
2026-06-02 08:10:42.423 +05:45 [INF] Application started. Press Ctrl+C to shut down.
2026-06-02 08:10:42.467 +05:45 [INF] Hosting environment: Development
2026-06-02 08:10:42.471 +05:45 [INF] Content root path: D:\Final year assignment 2\AISolutions\backend\src\AI.Solutions.API
